miR,GSM1021014,GSM1021015,GSM1021016,GSM1021017,GSM1021019,GSM1021020,GSM1021021,GSM1021022,GSM1021023,GSM1021024,GSM1021026,GSM1021038,GSM1021039,GSM1021040,GSM1021042,GSM1021043,GSM1021044,GSM1021045,GSM1021046,GSM1021047,GSM1021048,GSM1021049,GSM1021051,GSM1021052,GSM1021055,GSM1021060,GSM1021061,GSM1021062,GSM1021063,GSM1021064,GSM1021065,GSM1021067,GSM1021069,GSM1021070,GSM1021071,GSM1021072,GSM1021073,GSM1021078,GSM1021080,GSM1021082,GSM1021083,GSM1021084,GSM1021086,GSM1021087
hsa-miR-660,3.339848903,0.000469439,3.310252395,4.001280655,4.802989424,1.981381985,3.743409843,3.923131844,4.62071995,4.041391975,4.723866654,4.887859426,4.279327522,4.350156542,4.189436769,4.696680295,4.47035214,3.456623181,3.905566196,3.525091255,4.420569428,3.372814876,2.564041135,5.710094112,3.707088085,3.405507913,5.393607956,2.695824537,4.592350987,2.200478379,5.033537101,3.604510202,3.760961501,5.152925114,3.637377979,3.812010791,3.963153749,4.32590301,4.10311273,2.146091542,4.47035214,3.777238544,4.538620572,3.98193863
hsa-miR-661,0,0.000469439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000469439,0.000210173,2.37E-05,0,0.001629967,0.000104359,0,1.251862187,0,1.091513188,0,2.38360787,0,0,0,0,0,0,0,0,0.000210173,0.000688884,0,0,0,0,0
hsa-miR-662,0,0.000469439,1.401521514,0,0,0.263665459,0,0,0,0.455207671,0,0,0,1.388897642,0,0,0,0.000469439,0.000210173,2.37E-05,0,0.001629967,0.000104359,0,0,1.710613927,0,3.291632065,0,0,0,0,0,0.993479631,0,2.776053194,0,1.593000388,0.000688884,0,0,0,0.149026837,0.57276422
hsa-miR-663,1.888982949,2.118586816,4.237074311,3.197211484,3.119354194,3.423385611,5.177135544,2.880593495,2.133501657,4.887859426,2.33051656,5.243067798,4.47035214,6.175217141,5.9095804,5.982868634,4.857943175,6.28962553,5.204957798,5.337062632,6.366912134,4.350156542,5.37000481,5.51444633,3.257059712,6.758694481,4.83084203,4.10311273,0,5.177135544,2.849598651,6.254179667,4.802989424,4.063364105,0.24049451,3.388919362,5.741279291,5.152925114,5.542788778,5.710094112,0.278261267,4.914990422,5.51444633,5.768543474
hsa-miR-663b,0,0.000469439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000469439,0.000210173,2.37E-05,0,0.001629967,0.000104359,0,0,0,2.35704555,0,0,2.849598651,0,0,0,0,0,0,0,0.000210173,0.000688884,0,0,0,0,0
hsa-miR-664,2.415027617,3.014832448,1.710613927,2.629382005,1.994937893,0.707711485,2.316414729,2.302707719,1.928823294,2.7122715,2.880593495,2.174050278,2.316414729,1.2884626,2.343430149,2.400202687,2.26026349,2.911289648,2.676827419,2.695824537,1.955894582,2.808936121,2.866904282,2.662512674,3.014832448,2.174050278,0.961712261,3.586921049,0,0.211754859,2.564041135,3.182340094,0.373711909,2.924850218,0,1.981381985,2.26026349,1.760060413,2.821983801,0.855883373,3.104581722,1.388897642,2.676827419,2.61236207
hsa-miR-664*,2.578867505,2.743730537,0.972575963,1.981381985,0.945821902,2.534191149,2.050500585,1.846753956,0.43464783,0.624458783,0,0.984357361,1.028977239,3.059056005,1.888982949,3.197211484,0.366893363,1.579780641,0.000210173,1.401521514,0.69873471,1.462322639,2.519805284,1.167470676,1.554635774,0,0,0,3.210999858,0.373711909,0.152286117,2.26026349,2.118586816,1.593000388,0.645995406,2.461688915,2.519805284,2.999607704,0.000688884,3.182340094,1.721255835,0.580547785,1.648833739,2.089376242
hsa-miR-665,2.7122715,2.982328296,0.332719806,1.62121968,0,3.059056005,2.245286235,1.648833739,2.200478379,2.415027617,2.629382005,2.009521591,1.783400498,2.880593495,2.215580827,2.245286235,1.760060413,2.999607704,2.504502275,2.489484758,2.38360787,1.747316292,2.880593495,2.967862222,2.302707719,2.445586662,0.173270438,0.111922679,0,0.380026229,0.28351289,3.388919362,0.222468128,2.808936121,4.350156542,0,2.821983801,2.695824537,3.438166393,0,2.564041135,0,2.760741598,3.182340094
hsa-miR-668,0,0.000469439,0,0,0,0,0,0,0,0,0,0,0,0,0.846026326,0,0,0.000469439,0.000210173,2.37E-05,0,0.001629967,0.000104359,0,0,0,0,0,0,0,0,0,0,0.39393591,4.396413896,0,0,0.000210173,0.000688884,0.39393591,0,0,0,0
hsa-miR-671-3p,0.793025762,0.000469439,0,0,0,0,0,0,0,0,0.474963928,0,0,0,0.677396164,0,0,0.000469439,0.000210173,2.37E-05,0,0.001629967,1.154593848,1.593000388,0,0,2.400202687,0.073169839,0,1.427961028,0,0.91223565,0.187755335,1.760060413,3.339848903,0,1.374651983,0.000210173,1.981381985,0.824469678,0,0,0.28351289,1.605955667
